       차량 번호 : 0011
       기록 간격 : 10분

       상       호 :

      2024年07月23日
        							21:21S  A:-20.7                                                                   

        							21:16    A:-20.0                                                                   
        							21:06    A:-18.9                                                                   
        							20:56    A:-18.3                                                                   
        							20:46    A:-18.5                                                                   
        							20:36    A:-19.3                                                                   
        							20:26    A:-20.5                                                                   
        							20:16    A:-21.8                                                                   
        							20:06    A:-22.8                                                                   
        							19:56    A:-23.1                                                                   
        							19:46    A:-22.7                                                                   
        							19:36    A:-21.7                                                                   
        							19:26    A:-20.4                                                                   
        							19:16P  A:-19.2                                                                  
      USER STOP
